layer,linear,K,N,x_chan_spread,w_chan_spread,sym_base,t1w_base,asym_base,wonly_base,sym_awq.25,t1w_awq.25,asym_awq.25,wonly_awq.25,sym_awq.5,t1w_awq.5,asym_awq.5,wonly_awq.5,sym_wflat.5,t1w_wflat.5,asym_wflat.5,wonly_wflat.5,sym_wflat1,t1w_wflat1,asym_wflat1,wonly_wflat1,sym_mix,t1w_mix,asym_mix,wonly_mix
14,mlp.down_proj,27648,5120,13.36,1.32,17.286,16.386,18.448,17.528,17.479,16.174,18.696,17.68,17.017,15.495,18.429,17.174,17.362,16.471,18.516,17.609,17.377,16.515,18.535,17.627,17.594,16.278,18.786,17.8
15,self_attn.q_proj,5120,5120,22.13,1.67,19.907,15.923,21.23,20.025,19.426,14.213,21.079,19.458,16.905,11.552,18.911,16.911,19.918,16.313,21.145,20.052,19.614,16.504,20.799,19.763,19.977,14.907,21.485,20.018
15,self_attn.k_proj,5120,1024,22.13,1.95,22.092,15.421,23.467,22.194,21.309,13.501,22.889,21.337,18.188,10.797,20.281,18.193,22.166,16.157,23.306,22.32,21.538,16.516,22.688,21.74,22.171,14.62,23.679,22.218
15,self_attn.v_proj,5120,1024,22.13,1.078,16.09,16.522,17.153,16.227,17.327,16.39,18.561,17.378,17.514,15.838,18.786,17.533,17.336,16.515,18.5,17.392,17.662,16.262,18.925,17.686,17.721,16.139,19.006,17.742
15,self_attn.o_proj,5120,5120,16.16,1.764,17.13,16.44,18.257,17.184,17.007,15.646,18.329,17.037,15.303,13.951,16.852,15.321,17.241,16.536,18.325,17.294,17.234,16.577,18.344,17.288,17.153,15.803,18.442,17.184
15,mlp.gate_proj,5120,27648,9.48,1.47,20.557,16.607,21.735,20.593,20.261,16.169,21.595,20.275,18.722,14.662,20.632,18.729,20.545,16.679,21.696,20.594,20.453,16.705,21.587,20.518,20.501,16.439,21.751,20.52
15,mlp.up_proj,5120,27648,9.48,1.045,17.025,16.661,18.167,17.063,17.157,16.628,18.304,17.174,17.06,16.484,18.251,17.072,17.101,16.646,18.268,17.123,17.085,16.593,18.269,17.1,17.161,16.596,18.328,17.174
15,mlp.down_proj,27648,5120,10.05,1.265,17.428,16.403,18.601,17.662,17.622,16.161,18.878,17.808,16.942,15.275,18.451,17.077,17.505,16.501,18.668,17.745,17.508,16.549,18.675,17.748,17.747,16.288,18.985,17.938
16,self_attn.q_proj,5120,5120,36.92,1.627,20.685,15.639,22.006,20.835,20.529,13.44,22.215,20.567,17.822,10.477,19.794,17.829,20.559,16.088,21.823,20.732,20.138,16.331,21.372,20.327,20.999,14.144,22.607,21.048
16,self_attn.k_proj,5120,1024,36.92,1.696,22.185,15.246,23.237,22.324,21.793,13.023,23.333,21.825,18.756,10.195,20.764,18.763,21.945,15.903,23.085,22.123,21.169,16.263,22.398,21.373,22.355,13.983,23.881,22.403
16,self_attn.v_proj,5120,1024,36.92,1.074,15.407,16.543,16.551,15.593,17.598,16.244,18.804,17.672,17.599,15.169,18.996,17.621,17.111,16.512,18.265,17.208,17.922,16.231,19.191,17.97,18.075,15.859,19.377,18.108
16,self_attn.o_proj,5120,5120,14.26,1.778,17.52,15.911,18.743,17.574,17.432,15.026,18.81,17.462,15.726,13.332,17.331,15.743,17.698,16.149,18.908,17.757,17.731,16.303,18.901,17.795,17.692,15.292,18.989,17.725
16,mlp.gate_proj,5120,27648,8.27,1.37,19.612,16.517,20.807,19.638,19.391,16.202,20.696,19.404,18.322,15.131,20.005,18.33,19.603,16.565,20.793,19.635,19.544,16.585,20.726,19.585,19.551,16.376,20.805,19.567
16,mlp.up_proj,5120,27648,8.27,1.056,17.115,16.556,18.3,17.141,17.185,16.513,18.382,17.199,17.056,16.346,18.297,17.067,17.167,16.535,18.359,17.185,17.137,16.482,18.348,17.151,17.162,16.463,18.382,17.174
16,mlp.down_proj,27648,5120,11.96,1.25,17.268,16.384,18.463,17.49,17.504,16.185,18.737,17.685,16.981,15.449,18.405,17.118,17.343,16.465,18.529,17.569,17.352,16.505,18.539,17.581,17.597,16.276,18.814,17.782
17,self_attn.q_proj,5120,5120,27.4,1.586,20.332,15.929,21.609,20.453,20.063,14.033,21.626,20.097,17.577,11.41,19.517,17.585,20.263,16.288,21.456,20.397,19.93,16.468,21.108,20.072,20.443,14.627,21.925,20.484
17,self_attn.k_proj,5120,1024,27.4,1.69,21.768,15.735,22.915,21.885,21.336,13.808,22.837,21.366,18.567,11.202,20.573,18.575,21.574,16.181,22.683,21.716,21.066,16.389,22.175,21.227,21.839,14.561,23.264,21.881
17,self_attn.v_proj,5120,1024,27.4,1.104,16.714,16.568,17.814,16.855,18.327,16.213,19.503,18.385,17.91,14.964,19.326,17.926,17.893,16.578,19.0,17.975,18.411,16.378,19.601,18.457,18.524,15.864,19.825,18.554
17,self_attn.o_proj,5120,5120,15.59,1.308,17.496,16.235,18.69,17.563,17.293,15.244,18.665,17.329,15.283,13.219,16.906,15.301,17.542,16.4,18.713,17.615,17.496,16.495,18.639,17.574,17.536,15.487,18.841,17.576
17,mlp.gate_proj,5120,27648,7.62,1.341,19.318,16.578,20.504,19.34,19.151,16.334,20.42,19.164,18.317,15.49,19.888,18.326,19.311,16.617,20.491,19.339,19.274,16.633,20.444,19.308,19.272,16.47,20.499,19.287
17,mlp.up_proj,5120,27648,7.62,1.05,17.222,16.603,18.392,17.244,17.262,16.558,18.444,17.277,17.144,16.408,18.365,17.155,17.249,16.583,18.432,17.265,17.211,16.53,18.407,17.224,17.24,16.517,18.443,17.252
17,mlp.down_proj,27648,5120,8.56,1.309,17.323,16.494,18.469,17.541,17.506,16.33,18.698,17.691,17.137,15.76,18.473,17.285,17.381,16.566,18.522,17.606,17.382,16.599,18.52,17.608,17.587,16.412,18.762,17.776
18,self_attn.q_proj,5120,5120,29.33,1.732,20.064,15.788,21.352,20.196,19.887,13.718,21.55,19.923,17.37,10.903,19.344,17.378,20.074,16.182,21.225,20.221,19.733,16.393,20.91,19.89,20.291,14.338,21.867,20.336
18,self_attn.k_proj,5120,1024,29.33,1.72,21.695,15.509,22.885,21.82,21.251,13.356,22.844,21.284,18.483,10.616,20.419,18.489,21.515,15.995,22.631,21.67,20.88,16.256,22.098,21.055,21.737,14.108,23.238,21.784
18,self_attn.v_proj,5120,1024,29.33,1.101,16.116,16.515,17.2,16.275,17.908,16.124,19.132,17.972,17.703,14.891,19.121,17.723,17.577,16.507,18.668,17.676,18.179,16.228,19.417,18.231,18.311,15.741,19.634,18.344
18,self_attn.o_proj,5120,5120,9.11,1.763,17.527,16.228,18.727,17.579,17.412,15.378,18.719,17.442,15.871,13.847,17.454,15.888,17.682,16.424,18.834,17.737,17.673,16.526,18.826,17.732,17.641,15.61,18.918,17.673
18,mlp.gate_proj,5120,27648,8.23,1.317,19.437,16.533,20.632,19.46,19.248,16.249,20.534,19.262,18.358,15.346,19.955,18.366,19.436,16.575,20.614,19.465,19.401,16.598,20.576,19.437,19.372,16.388,20.614,19.387
18,mlp.up_proj,5120,27648,8.23,1.044,17.329,16.58,18.496,17.353,17.357,16.499,18.549,17.371,17.159,16.269,18.422,17.17,17.357,16.56,18.538,17.374,17.329,16.513,18.529,17.344,17.325,16.451,18.541,17.337
18,mlp.down_proj,27648,5120,9.4,1.285,17.369,16.437,18.553,17.564,17.517,16.261,18.737,17.685,17.117,15.687,18.489,17.252,17.444,16.523,18.61,17.644,17.465,16.566,18.62,17.67,17.607,16.355,18.817,17.779
19,self_attn.q_proj,5120,5120,22.5,1.657,20.016,15.698,21.342,20.138,19.608,13.814,21.225,19.641,16.981,11.047,18.943,16.988,19.913,16.118,21.112,20.059,19.498,16.348,20.688,19.663,20.085,14.535,21.638,20.13
19,self_attn.k_proj,5120,1024,22.5,1.632,21.366,15.704,22.583,21.485,21.022,13.884,22.55,21.056,18.248,11.136,20.19,18.255,21.191,16.082,22.384,21.339,20.769,16.293,21.906,20.94,21.47,14.563,22.927,21.516
19,self_attn.v_proj,5120,1024,22.5,1.131,17.112,16.557,18.192,17.264,18.382,16.126,19.589,18.439,17.896,14.951,19.327,17.913,17.993,16.517,19.153,18.08,18.357,16.247,19.565,18.406,18.478,15.796,19.831,18.508
19,self_attn.o_proj,5120,5120,17.35,1.533,18.492,16.169,19.697,18.554,18.578,14.977,19.982,18.609,16.609,12.873,18.31,16.624,18.596,16.395,19.746,18.663,18.489,16.52,19.614,18.56,18.822,15.236,20.16,18.855
19,mlp.gate_proj,5120,27648,7.24,1.362,19.465,16.497,20.679,19.486,19.239,16.187,20.557,19.252,18.322,15.265,19.958,18.331,19.48,16.552,20.672,19.507,19.449,16.583,20.636,19.484,19.395,16.352,20.656,19.41
19,mlp.up_proj,5120,27648,7.24,1.051,17.329,16.547,18.508,17.352,17.343,16.469,18.554,17.357,17.153,16.242,18.42,17.164,17.354,16.526,18.542,17.371,17.316,16.476,18.525,17.33,17.318,16.423,18.542,17.33
19,mlp.down_proj,27648,5120,11.17,1.296,17.231,16.323,18.427,17.421,17.372,16.111,18.639,17.531,16.818,15.366,18.287,16.941,17.329,16.434,18.496,17.527,17.359,16.492,18.512,17.56,17.502,16.237,18.748,17.666
20,self_attn.q_proj,5120,5120,29.42,1.657,19.824,15.455,21.18,19.948,19.592,13.244,21.254,19.627,17.168,10.575,19.07,17.176,19.723,15.908,20.951,19.864,19.323,16.178,20.476,19.479,19.984,13.895,21.587,20.028
20,self_attn.k_proj,5120,1024,29.42,1.689,20.524,15.045,21.937,20.634,20.454,13.041,22.095,20.486,17.917,10.65,19.839,17.924,20.394,15.524,21.704,20.531,20.004,15.842,21.133,20.164,20.819,13.66,22.395,20.864
20,self_attn.v_proj,5120,1024,29.42,1.216,16.589,16.405,17.69,16.745,18.439,15.787,19.633,18.501,17.929,14.223,19.426,17.948,18.038,16.51,19.165,18.146,18.734,16.337,19.878,18.806,18.897,15.547,20.176,18.934
20,self_attn.o_proj,5120,5120,15.07,1.744,17.635,16.271,18.841,17.697,17.438,15.113,18.864,17.469,15.328,13.059,17.058,15.344,17.787,16.494,18.956,17.854,17.735,16.586,18.847,17.809,17.793,15.484,19.14,17.828
20,mlp.gate_proj,5120,27648,8.09,1.369,19.412,16.5,20.622,19.436,19.163,16.14,20.484,19.176,18.184,15.141,19.836,18.192,19.429,16.558,20.614,19.459,19.395,16.59,20.57,19.433,19.322,16.311,20.579,19.338
20,mlp.up_proj,5120,27648,8.09,1.047,17.416,16.548,18.587,17.441,17.419,16.436,18.627,17.433,17.18,16.156,18.467,17.191,17.445,16.529,18.634,17.464,17.425,16.486,18.634,17.44,17.391,16.387,18.62,17.404
20,mlp.down_proj,27648,5120,16.98,1.289,17.357,16.33,18.554,17.542,17.487,16.139,18.738,17.645,17.057,15.544,18.463,17.183,17.448,16.433,18.637,17.64,17.472,16.486,18.645,17.668,17.593,16.248,18.826,17.756
21,self_attn.q_proj,5120,5120,25.23,1.588,20.619,16.106,21.849,20.774,20.418,14.305,21.981,20.458,17.804,11.489,19.831,17.812,20.607,16.404,21.753,20.777,20.33,16.565,21.454,20.512,20.813,14.841,22.274,20.863
21,self_attn.k_proj,5120,1024,25.23,1.647,21.624,15.827,22.92,21.768,21.444,14.055,23.055,21.481,18.634,11.322,20.708,18.642,21.639,16.222,22.731,21.813,21.263,16.406,22.333,21.459,21.956,14.675,23.406,22.006
21,self_attn.v_proj,5120,1024,25.23,1.132,17.861,16.48,18.897,18.034,18.979,15.805,20.206,19.036,18.141,14.285,19.638,18.157,18.661,16.483,19.767,18.768,18.978,16.312,20.19,19.044,19.075,15.549,20.429,19.108
21,self_attn.o_proj,5120,5120,15.57,1.325,17.836,16.408,18.995,17.89,17.769,15.502,19.104,17.799,16.01,13.614,17.55,16.025,17.904,16.518,19.045,17.959,17.822,16.57,19.005,17.879,17.937,15.664,19.219,17.968
21,mlp.gate_proj,5120,27648,7.73,1.395,19.636,16.491,20.841,19.659,19.375,16.131,20.712,19.388,18.363,15.12,20.033,18.371,19.646,16.552,20.838,19.676,19.608,16.584,20.791,19.646,19.543,16.311,20.815,19.559
21,mlp.up_proj,5120,27648,7.73,1.041,17.561,16.561,18.731,17.586,17.555,16.446,18.765,17.569,17.301,16.161,18.597,17.311,17.583,16.548,18.769,17.601,17.555,16.509,18.754,17.57,17.533,16.409,18.764,17.545
21,mlp.down_proj,27648,5120,22.34,1.314,17.357,16.363,18.543,17.542,17.524,16.164,18.754,17.675,16.916,15.379,18.402,17.032,17.447,16.467,18.624,17.639,17.467,16.519,18.63,17.665,17.646,16.277,18.856,17.801
22,self_attn.q_proj,5120,5120,24.81,1.566,20.169,16.24,21.371,20.329,19.956,14.431,21.537,19.998,17.148,11.394,19.218,17.156,20.039,16.51,21.194,20.215,19.74,16.645,20.843,19.933,20.357,15.003,21.828,20.411
22,self_attn.k_proj,5120,1024,24.81,1.798,21.603,15.71,22.899,21.744,21.089,13.635,22.709,21.123,17.863,10.625,20.021,17.87,21.43,16.252,22.583,21.615,20.912,16.52,21.965,21.147,21.878,14.618,23.343,21.935
22,self_attn.v_proj,5120,1024,24.81,1.131,16.345,16.079,17.609,16.497,17.604,15.571,18.839,17.658,17.356,14.637,18.758,17.373,17.634,16.085,18.847,17.703,17.921,15.891,19.223,17.954,18.001,15.427,19.313,18.024
22,self_attn.o_proj,5120,5120,7.6,1.317,17.047,16.328,18.226,17.088,17.069,15.613,18.359,17.095,15.655,14.141,17.133,15.673,17.149,16.419,18.326,17.19,17.172,16.449,18.336,17.214,17.163,15.684,18.402,17.19
22,mlp.gate_proj,5120,27648,7.32,1.384,19.534,16.475,20.736,19.558,19.278,16.115,20.601,19.291,18.225,15.051,19.905,18.233,19.54,16.534,20.724,19.57,19.496,16.566,20.676,19.535,19.452,16.305,20.716,19.468
22,mlp.up_proj,5120,27648,7.32,1.032,17.531,16.571,18.71,17.556,17.554,16.475,18.756,17.569,17.306,16.189,18.599,17.317,17.554,16.552,18.746,17.573,17.537,16.508,18.732,17.552,17.527,16.43,18.753,17.54
22,mlp.down_proj,27648,5120,11.32,1.291,17.236,16.294,18.451,17.413,17.394,16.095,18.658,17.541,16.826,15.356,18.286,16.94,17.325,16.396,18.518,17.509,17.334,16.45,18.527,17.522,17.511,16.209,18.753,17.664
23,self_attn.q_proj,5120,5120,22.87,1.595,19.847,16.196,21.049,19.988,19.428,14.545,20.999,19.466,16.631,11.584,18.733,16.638,19.733,16.48,20.847,19.9,19.417,16.632,20.532,19.607,19.896,15.18,21.353,19.946
23,self_attn.k_proj,5120,1024,22.87,1.881,21.825,15.741,23.036,21.952,20.917,13.712,22.622,20.948,17.709,10.659,19.869,17.714,21.727,16.355,22.806,21.916,20.935,16.615,21.998,21.183,21.869,14.869,23.361,21.924
23,self_attn.v_proj,5120,1024,22.87,1.102,16.541,16.299,17.645,16.691,17.494,15.952,18.742,17.547,17.305,15.244,18.699,17.322,17.57,16.27,18.765,17.63,17.674,16.001,18.936,17.701,17.813,15.79,19.074,17.835
23,self_attn.o_proj,5120,5120,9.66,1.373,16.671,16.174,17.925,16.71,16.69,15.176,17.981,16.715,15.062,13.587,16.586,15.077,16.826,16.331,17.982,16.868,16.801,16.411,18.007,16.845,16.876,15.336,18.137,16.903
23,mlp.gate_proj,5120,27648,6.4,1.386,19.774,16.326,21.02,19.8,19.497,15.919,20.872,19.51,18.304,14.706,20.063,18.311,19.762,16.386,20.999,19.795,19.699,16.417,20.928,19.742,19.678,16.125,20.994,19.694
23,mlp.up_proj,5120,27648,6.4,1.027,17.419,16.458,18.627,17.445,17.441,16.334,18.684,17.455,17.125,15.971,18.475,17.136,17.455,16.438,18.673,17.474,17.432,16.394,18.668,17.448,17.416,16.284,18.681,17.428
23,mlp.down_proj,27648,5120,22.44,1.293,17.143,16.204,18.365,17.349,17.518,15.888,18.83,17.662,16.413,14.491,18.114,16.503,17.196,16.298,18.395,17.41,17.191,16.345,18.379,17.411,17.621,16.003,18.926,17.772
24,self_attn.q_proj,5120,5120,27.86,1.549,19.269,15.861,20.556,19.416,19.124,14.079,20.724,19.164,16.603,11.249,18.61,16.611,19.178,16.12,20.406,19.34,18.908,16.26,20.097,19.084,19.456,14.564,20.977,19.505
24,self_attn.k_proj,5120,1024,27.86,1.76,20.727,15.157,21.928,20.856,20.231,13.261,21.818,20.266,17.497,10.593,19.427,17.503,20.507,15.663,21.656,20.673,19.914,15.979,21.124,20.116,20.847,14.074,22.303,20.895
24,self_attn.v_proj,5120,1024,27.86,1.103,16.507,16.418,17.473,16.683,17.797,15.975,19.022,17.859,17.347,14.787,18.85,17.365,17.593,16.359,18.736,17.685,17.933,16.009,19.234,17.979,18.044,15.602,19.373,18.074
24,self_attn.o_proj,5120,5120,9.23,1.61,16.922,16.247,18.09,16.969,16.85,15.525,18.157,16.879,15.421,14.038,16.919,15.438,17.03,16.386,18.138,17.08,17.012,16.457,18.172,17.064,17.026,15.706,18.308,17.057
24,mlp.gate_proj,5120,27648,5.22,1.372,19.445,16.552,20.644,19.464,19.281,16.285,20.548,19.293,18.426,15.422,19.984,18.435,19.435,16.59,20.623,19.459,19.395,16.605,20.571,19.425,19.404,16.431,20.646,19.418
24,mlp.up_proj,5120,27648,5.22,1.024,17.543,16.601,18.714,17.563,17.559,16.515,18.744,17.572,17.324,16.255,18.583,17.335,17.546,16.588,18.729,17.562,17.523,16.555,18.713,17.537,17.546,16.491,18.745,17.558
24,mlp.down_proj,27648,5120,7.84,1.257,17.343,16.521,18.502,17.531,17.536,16.341,18.729,17.693,17.089,15.697,18.431,17.211,17.41,16.594,18.553,17.604,17.418,16.625,18.548,17.616,17.621,16.422,18.802,17.782
25,self_attn.q_proj,5120,5120,27.0,1.519,19.006,16.087,20.216,19.165,18.964,14.418,20.536,19.008,16.475,11.632,18.494,16.484,18.95,16.32,20.114,19.115,18.752,16.453,19.877,18.925,19.267,14.855,20.765,19.318
25,self_attn.k_proj,5120,1024,27.0,1.69,20.423,15.699,21.676,20.567,20.301,13.93,21.852,20.342,17.448,11.106,19.447,17.455,20.232,16.051,21.496,20.406,19.899,16.256,21.071,20.107,20.744,14.535,22.22,20.797
25,self_attn.v_proj,5120,1024,27.0,1.324,16.088,15.811,17.299,16.243,17.346,15.416,18.659,17.401,17.182,14.518,18.597,17.2,17.314,15.916,18.565,17.391,17.781,15.793,19.045,17.818,17.722,15.286,19.074,17.748
25,self_attn.o_proj,5120,5120,9.25,1.37,16.96,16.404,18.12,17.008,16.907,15.51,18.179,16.935,15.188,13.87,16.742,15.205,17.048,16.519,18.202,17.099,17.048,16.572,18.194,17.101,17.084,15.654,18.32,17.115
25,mlp.gate_proj,5120,27648,5.63,1.351,19.276,16.523,20.462,19.296,19.082,16.225,20.352,19.094,18.213,15.356,19.798,18.222,19.277,16.569,20.45,19.301,19.236,16.594,20.416,19.266,19.207,16.377,20.441,19.221
25,mlp.up_proj,5120,27648,5.63,1.031,17.618,16.6,18.789,17.639,17.628,16.503,18.817,17.641,17.387,16.233,18.652,17.398,17.628,16.585,18.804,17.645,17.598,16.552,18.785,17.612,17.609,16.473,18.808,17.621
25,mlp.down_proj,27648,5120,16.7,1.282,17.455,16.527,18.608,17.644,17.625,16.353,18.819,17.783,17.162,15.717,18.544,17.286,17.532,16.608,18.667,17.729,17.54,16.646,18.665,17.742,17.715,16.443,18.898,17.878
26,self_attn.q_proj,5120,5120,25.8,1.522,19.527,15.853,20.745,19.676,19.55,14.419,21.1,19.592,17.265,11.889,19.22,17.273,19.521,16.08,20.761,19.677,19.434,16.228,20.618,19.596,19.85,14.792,21.293,19.897
26,self_attn.k_proj,5120,1024,25.8,1.47,20.764,15.813,21.846,20.913,20.59,14.324,22.159,20.632,17.944,11.78,19.988,17.953,20.71,16.066,21.775,20.881,20.49,16.22,21.568,20.68,20.891,14.729,22.377,20.941
26,self_attn.v_proj,5120,1024,25.8,1.15,17.807,16.488,18.922,17.978,18.752,15.903,20.091,18.809,18.075,14.603,19.583,18.09,18.548,16.457,19.721,18.653,18.814,16.226,20.027,18.874,18.942,15.659,20.275,18.976
26,self_attn.o_proj,5120,5120,8.77,1.372,16.78,16.301,17.92,16.837,16.651,15.369,17.987,16.68,14.774,13.379,16.361,14.788,16.819,16.45,17.97,16.878,16.77,16.531,17.909,16.834,16.858,15.624,18.188,16.889
26,mlp.gate_proj,5120,27648,6.56,1.362,19.157,16.374,20.388,19.179,18.922,16.024,20.248,18.934,17.982,15.076,19.642,17.99,19.173,16.434,20.374,19.2,19.145,16.472,20.337,19.179,19.074,16.197,20.35,19.089
26,mlp.up_proj,5120,27648,6.56,1.046,17.567,16.504,18.748,17.59,17.56,16.386,18.779,17.573,17.293,16.081,18.589,17.303,17.579,16.485,18.769,17.597,17.556,16.447,18.756,17.571,17.536,16.346,18.769,17.548
26,mlp.down_proj,27648,5120,6.52,1.393,17.282,16.309,18.498,17.434,17.347,16.158,18.602,17.484,17.027,15.721,18.381,17.144,17.393,16.419,18.584,17.551,17.431,16.477,18.606,17.593,17.475,16.274,18.699,17.617
27,self_attn.q_proj,5120,5120,27.8,1.51,19.878,16.08,21.101,20.038,19.743,14.365,21.357,19.786,17.182,11.519,19.239,17.19,19.853,16.328,21.002,20.027,19.656,16.476,20.784,19.843,20.1,14.834,21.625,20.152
27,self_attn.k_proj,5120,1024,27.8,1.543,21.007,15.692,22.185,21.152,20.878,14.039,22.498,20.917,17.992,11.321,20.269,18.0,21.001,16.023,22.113,21.179,20.786,16.216,21.844,20.994,21.307,14.561,22.774,21.357
27,self_attn.v_proj,5120,1024,27.8,1.135,17.368,16.26,18.442,17.538,18.455,15.687,19.69,18.513,17.825,14.448,19.342,17.841,18.217,16.216,19.438,18.316,18.48,15.972,19.702,18.533,18.613,15.428,19.972,18.644
27,self_attn.o_proj,5120,5120,13.48,1.498,16.916,16.423,18.087,16.963,16.932,15.659,18.203,16.96,15.519,14.1,17.032,15.535,17.022,16.526,18.166,17.069,16.998,16.567,18.154,17.047,17.097,15.808,18.343,17.125
27,mlp.gate_proj,5120,27648,6.91,1.356,19.164,16.25,20.417,19.186,18.908,15.871,20.268,18.92,17.959,14.909,19.64,17.967,19.181,16.317,20.415,19.209,19.162,16.36,20.378,19.197,19.072,16.048,20.377,19.087
27,mlp.up_proj,5120,27648,6.91,1.044,17.582,16.442,18.783,17.606,17.578,16.305,18.816,17.592,17.292,15.976,18.612,17.302,17.596,16.417,18.805,17.615,17.574,16.374,18.797,17.59,17.542,16.255,18.803,17.554
27,mlp.down_proj,27648,5120,8.18,1.329,17.184,16.176,18.421,17.331,17.266,16.037,18.526,17.4,16.943,15.599,18.308,17.06,17.301,16.292,18.516,17.456,17.348,16.355,18.55,17.507,17.389,16.154,18.63,17.53
28,self_attn.q_proj,5120,5120,28.46,1.587,19.712,16.159,20.932,19.882,19.456,14.342,21.122,19.499,16.62,11.274,18.755,16.627,19.591,16.427,20.736,19.787,19.279,16.573,20.357,19.498,19.901,14.941,21.438,19.958
28,self_attn.k_proj,5120,1024,28.46,1.783,21.115,15.79,22.359,21.274,20.649,13.843,22.387,20.687,17.526,10.735,19.746,17.533,20.987,16.291,22.219,21.201,20.466,16.532,21.543,20.74,21.395,14.763,22.962,21.457
28,self_attn.v_proj,5120,1024,28.46,1.136,16.651,16.249,17.661,16.839,17.516,15.749,18.809,17.576,17.209,14.822,18.63,17.227,17.565,16.18,18.771,17.639,17.617,15.833,18.91,17.648,17.81,15.523,19.15,17.834
28,self_attn.o_proj,5120,5120,10.14,1.582,16.799,16.029,17.955,16.832,17.013,15.535,18.305,17.035,15.676,14.079,17.057,15.69,17.097,16.283,18.241,17.133,17.191,16.397,18.29,17.23,17.231,15.719,18.472,17.256
28,mlp.gate_proj,5120,27648,7.38,1.381,19.086,16.104,20.361,19.112,18.747,15.638,20.183,18.759,17.613,14.472,19.396,17.621,19.095,16.183,20.355,19.128,19.058,16.236,20.306,19.099,18.926,15.844,20.295,18.942
28,mlp.up_proj,5120,27648,7.38,1.036,17.337,16.287,18.569,17.365,17.317,16.111,18.611,17.332,16.954,15.689,18.354,16.964,17.357,16.252,18.601,17.379,17.347,16.203,18.606,17.364,17.269,16.04,18.582,17.282
28,mlp.down_proj,27648,5120,43.2,1.37,17.045,15.958,18.33,17.2,17.229,15.741,18.569,17.354,16.633,15.031,18.164,16.733,17.129,16.07,18.391,17.294,17.141,16.132,18.374,17.317,17.346,15.854,18.674,17.476
29,self_attn.q_proj,5120,5120,24.22,1.549,18.584,15.861,19.812,18.734,18.549,14.227,20.153,18.593,16.063,11.455,18.089,16.072,18.548,16.052,19.743,18.705,18.368,16.165,19.56,18.532,18.801,14.601,20.36,18.849
29,self_attn.k_proj,5120,1024,24.22,1.777,19.613,14.65,20.997,19.727,19.245,12.833,20.88,19.278,16.659,10.358,18.574,16.665,19.575,15.333,20.862,19.732,19.099,15.797,20.273,19.297,19.883,13.749,21.476,19.933
29,self_attn.v_proj,5120,1024,24.22,1.103,15.869,16.053,16.923,16.037,17.152,15.755,18.405,17.215,17.113,14.971,18.555,17.133,17.128,16.04,18.304,17.203,17.538,15.765,18.865,17.569,17.506,15.457,18.859,17.532
29,self_attn.o_proj,5120,5120,7.88,1.604,15.983,16.163,17.144,16.022,16.113,15.651,17.412,16.139,15.102,14.522,16.489,15.121,16.249,16.347,17.4,16.289,16.352,16.423,17.48,16.393,16.317,15.792,17.562,16.344
29,mlp.gate_proj,5120,27648,7.46,1.434,19.228,16.237,20.471,19.253,18.898,15.793,20.283,18.911,17.712,14.6,19.506,17.719,19.249,16.322,20.465,19.281,19.194,16.372,20.41,19.237,19.117,16.034,20.427,19.133
29,mlp.up_proj,5120,27648,7.46,1.024,17.396,16.434,18.598,17.422,17.425,16.324,18.655,17.44,17.15,16.007,18.481,17.16,17.419,16.402,18.634,17.439,17.409,16.356,18.64,17.425,17.382,16.26,18.638,17.394
29,mlp.down_proj,27648,5120,12.08,1.324,16.917,16.099,18.175,17.063,16.991,15.942,18.287,17.121,16.616,15.469,18.031,16.726,17.027,16.201,18.267,17.179,17.062,16.253,18.295,17.219,17.102,16.046,18.395,17.239
30,self_attn.q_proj,5120,5120,23.82,1.53,19.001,16.201,20.209,19.165,18.895,14.727,20.521,18.941,16.361,11.947,18.443,16.37,19.001,16.408,20.145,19.175,18.883,16.521,19.964,19.065,19.226,15.152,20.746,19.278
30,self_attn.k_proj,5120,1024,23.82,1.805,20.654,15.364,22.009,20.791,19.926,13.418,21.641,19.959,16.976,10.666,19.102,16.982,20.643,16.058,21.81,20.841,20.081,16.421,21.142,20.343,20.833,14.525,22.379,20.893
30,self_attn.v_proj,5120,1024,23.82,1.116,15.502,15.911,16.528,15.67,16.508,15.763,17.724,16.566,16.675,15.316,17.96,16.695,16.574,15.894,17.776,16.633,16.821,15.626,18.162,16.841,16.849,15.533,18.121,16.869
30,self_attn.o_proj,5120,5120,7.32,1.222,15.76,16.299,16.927,15.799,15.831,15.8,17.083,15.857,14.685,14.595,16.103,14.703,15.919,16.392,17.063,15.958,15.984,16.431,17.132,16.023,15.962,15.879,17.185,15.988
30,mlp.gate_proj,5120,27648,7.8,1.419,19.208,16.272,20.437,19.233,18.876,15.846,20.257,18.889,17.661,14.621,19.474,17.669,19.218,16.355,20.423,19.251,19.174,16.403,20.366,19.218,19.107,16.096,20.402,19.123
30,mlp.up_proj,5120,27648,7.8,1.02,17.316,16.489,18.491,17.343,17.358,16.401,18.567,17.372,17.108,16.116,18.416,17.118,17.34,16.459,18.539,17.361,17.335,16.415,18.541,17.352,17.321,16.34,18.553,17.333
30,mlp.down_proj,27648,5120,10.58,1.276,16.91,16.139,18.163,17.058,16.997,15.998,18.288,17.131,16.698,15.572,18.085,16.813,17.012,16.229,18.249,17.165,17.053,16.275,18.276,17.21,17.109,16.088,18.375,17.247
