layer,linear,K,N,x_chan_spread,w_chan_spread,sym_base,t1w_base,asym_base,wonly_base,sym_awq.25,t1w_awq.25,asym_awq.25,wonly_awq.25,sym_awq.5,t1w_awq.5,asym_awq.5,wonly_awq.5,sym_wflat.5,t1w_wflat.5,asym_wflat.5,wonly_wflat.5,sym_wflat1,t1w_wflat1,asym_wflat1,wonly_wflat1,sym_mix,t1w_mix,asym_mix,wonly_mix
6,mlp.gate_proj,5120,27648,77.85,1.87,29.65,16.218,31.147,29.924,30.938,12.825,32.697,30.983,26.738,7.772,28.763,26.741,28.615,16.612,29.687,28.958,26.716,16.71,27.948,27.089,31.631,14.259,33.372,31.729
6,mlp.up_proj,5120,27648,77.85,1.112,14.707,16.408,15.796,15.046,19.054,15.733,20.465,19.18,18.302,13.473,20.173,18.318,16.808,16.35,17.987,17.08,18.318,16.201,19.612,18.51,19.614,15.447,21.129,19.685
6,mlp.down_proj,27648,5120,79.28,1.304,19.738,16.092,20.628,19.834,23.774,15.255,24.853,23.922,24.423,12.592,24.781,24.544,19.411,15.572,20.022,19.524,18.666,16.138,19.186,18.772,23.186,15.017,23.893,23.324
7,self_attn.q_proj,5120,5120,33.68,1.715,21.64,15.904,22.874,21.789,21.303,13.798,22.933,21.337,18.409,10.803,20.48,18.415,21.478,16.307,22.669,21.648,21.047,16.474,22.184,21.237,21.8,14.535,23.325,21.845
7,self_attn.k_proj,5120,1024,33.68,1.822,22.875,15.668,24.125,23.015,22.287,13.397,23.896,22.319,18.899,10.452,21.005,18.908,22.62,16.174,23.747,22.805,21.798,16.416,22.969,22.02,22.918,14.33,24.451,22.967
7,self_attn.v_proj,5120,1024,33.68,1.092,16.486,16.644,17.555,16.664,17.969,16.079,19.142,18.028,17.501,14.767,18.857,17.518,17.755,16.627,18.854,17.833,18.193,16.485,19.355,18.235,18.26,15.85,19.594,18.288
7,self_attn.o_proj,5120,5120,11.84,1.351,18.306,16.373,19.536,18.367,18.309,15.571,19.637,18.348,16.576,14.014,18.45,16.601,18.37,16.432,19.583,18.432,18.387,16.45,19.574,18.451,18.391,15.635,19.66,18.432
7,mlp.gate_proj,5120,27648,100.08,2.167,28.635,15.838,29.823,28.97,28.711,11.569,31.193,28.753,24.109,6.983,26.648,24.111,26.991,16.533,28.043,27.446,24.587,16.72,25.551,25.117,29.747,13.559,31.78,29.852
7,mlp.up_proj,5120,27648,100.08,1.063,14.487,16.578,15.467,14.917,18.422,16.071,19.745,18.555,17.997,14.384,19.816,18.016,16.333,16.499,17.429,16.648,17.655,16.302,18.861,17.881,18.885,15.761,20.326,18.96
7,mlp.down_proj,27648,5120,51.71,1.357,16.506,16.147,17.681,16.92,18.523,15.313,19.792,18.856,16.94,12.718,18.762,17.098,16.583,16.225,17.736,17.02,16.493,16.307,17.608,16.951,18.45,15.233,19.727,18.786
8,self_attn.q_proj,5120,5120,70.41,1.819,21.582,15.195,22.923,21.732,21.849,12.445,23.473,21.886,19.274,9.687,21.134,19.281,21.429,15.865,22.658,21.609,20.832,16.218,21.996,21.035,22.221,13.212,23.769,22.268
8,self_attn.k_proj,5120,1024,70.41,1.743,21.932,15.221,23.171,22.082,22.276,12.419,23.698,22.313,19.507,9.732,21.285,19.514,21.73,15.851,22.922,21.903,21.119,16.182,22.351,21.305,22.581,13.198,24.017,22.626
8,self_attn.v_proj,5120,1024,70.41,1.144,14.852,16.484,15.947,15.056,17.535,15.513,18.889,17.611,17.372,13.723,18.857,17.393,16.866,16.513,18.057,16.995,18.051,16.386,19.224,18.133,18.391,15.301,19.706,18.431
8,self_attn.o_proj,5120,5120,27.69,1.72,18.496,16.043,19.66,18.578,18.642,14.876,19.955,18.679,16.672,12.794,18.313,16.689,18.742,16.237,19.83,18.82,18.772,16.327,19.909,18.854,18.966,15.124,20.142,19.006
8,mlp.gate_proj,5120,27648,90.12,2.629,27.236,15.372,28.408,27.591,26.558,10.805,29.16,26.597,22.325,6.89,24.652,22.33,25.466,16.41,26.383,26.009,22.625,16.68,23.538,23.27,27.975,13.257,29.941,28.093
8,mlp.up_proj,5120,27648,90.12,1.044,12.47,16.61,13.271,12.981,16.195,16.474,17.358,16.345,16.798,15.846,18.174,16.824,15.199,16.554,16.312,15.455,16.646,16.398,17.844,16.758,17.003,16.256,18.28,17.056
8,mlp.down_proj,27648,5120,25.86,1.332,16.746,16.039,17.94,17.103,17.984,15.529,19.304,18.261,16.952,13.882,18.589,17.118,16.931,16.173,18.093,17.301,16.945,16.233,18.135,17.319,18.006,15.579,19.333,18.289
9,self_attn.q_proj,5120,5120,41.72,1.739,20.667,15.842,21.882,20.842,20.458,13.71,22.1,20.498,17.674,10.735,19.673,17.68,20.579,16.321,21.725,20.781,20.09,16.522,21.167,20.315,21.042,14.497,22.537,21.095
