layer,linear,config,M,N,K,tier1_x_db,tier1_w_db,tier2_db
3,mlp.gate_proj,w8a8,2048,27648,5120,24.324,36.808,45.192
3,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,27.673,38.803,48.081
3,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,27.673,15.03,30.269
3,mlp.gate_proj,w4a8-pc,2048,27648,5120,24.324,13.457,28.501
3,mlp.up_proj,w8a8,2048,27648,5120,24.324,39.368,25.59
3,mlp.up_proj,w8a8-mg1024,2048,27648,5120,27.673,40.855,28.861
3,mlp.up_proj,w4a8-mg1024,2048,27648,5120,27.673,15.696,16.854
3,mlp.up_proj,w4a8-pc,2048,27648,5120,24.324,14.214,15.244
3,mlp.down_proj,w8a8,2048,5120,27648,20.564,35.313,18.655
3,mlp.down_proj,w8a8-mg1024,2048,5120,27648,30.717,38.168,28.939
3,mlp.down_proj,w4a8-mg1024,2048,5120,27648,30.717,15.786,18.472
3,mlp.down_proj,w4a8-pc,2048,5120,27648,20.564,13.284,14.132
4,self_attn.q_proj,w8a8,2048,5120,5120,27.656,37.729,35.829
4,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,30.936,39.363,38.884
4,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,30.936,14.431,23.036
4,self_attn.q_proj,w4a8-pc,2048,5120,5120,27.656,12.82,21.336
4,self_attn.k_proj,w8a8,2048,1024,5120,27.656,38.005,36.512
4,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,30.936,39.632,39.576
4,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,30.936,14.689,23.985
4,self_attn.k_proj,w4a8-pc,2048,1024,5120,27.656,13.069,22.278
4,self_attn.v_proj,w8a8,2048,1024,5120,27.656,40.232,28.437
4,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,30.936,41.383,31.57
4,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,30.936,16.319,17.362
4,self_attn.v_proj,w4a8-pc,2048,1024,5120,27.656,15.186,16.218
4,self_attn.o_proj,w8a8,2048,5120,5120,32.336,39.379,34.637
4,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,36.044,41.304,37.903
4,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,36.044,16.134,19.062
4,self_attn.o_proj,w4a8-pc,2048,5120,5120,32.336,14.252,17.325
4,mlp.gate_proj,w8a8,2048,27648,5120,22.946,38.758,39.992
4,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,27.04,40.507,43.866
4,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,27.04,15.879,32.141
4,mlp.gate_proj,w4a8-pc,2048,27648,5120,22.946,14.408,29.364
4,mlp.up_proj,w8a8,2048,27648,5120,22.946,40.031,27.161
4,mlp.up_proj,w8a8-mg1024,2048,27648,5120,27.04,41.351,31.168
4,mlp.up_proj,w4a8-mg1024,2048,27648,5120,27.04,16.191,20.111
4,mlp.up_proj,w4a8-pc,2048,27648,5120,22.946,14.879,18.536
4,mlp.down_proj,w8a8,2048,5120,27648,34.838,36.014,34.031
4,mlp.down_proj,w8a8-mg1024,2048,5120,27648,44.09,39.056,43.651
4,mlp.down_proj,w4a8-mg1024,2048,5120,27648,44.09,15.573,27.637
4,mlp.down_proj,w4a8-pc,2048,5120,27648,34.838,12.808,24.037
5,self_attn.q_proj,w8a8,2048,5120,5120,27.109,39.103,33.986
5,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,30.412,40.574,37.137
5,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,30.412,15.436,22.481
5,self_attn.q_proj,w4a8-pc,2048,5120,5120,27.109,13.968,20.907
5,self_attn.k_proj,w8a8,2048,1024,5120,27.109,39.531,35.208
5,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,30.412,40.823,38.341
5,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,30.412,15.676,23.923
5,self_attn.k_proj,w4a8-pc,2048,1024,5120,27.109,14.388,22.572
5,self_attn.v_proj,w8a8,2048,1024,5120,27.109,40.739,27.148
5,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,30.412,41.788,30.342
5,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,30.412,16.618,16.732
5,self_attn.v_proj,w4a8-pc,2048,1024,5120,27.109,15.578,15.573
5,self_attn.o_proj,w8a8,2048,5120,5120,29.075,40.144,30.773
5,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,33.796,41.556,35.255
5,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,33.796,16.375,18.385
5,self_attn.o_proj,w4a8-pc,2048,5120,5120,29.075,14.977,16.858
5,mlp.gate_proj,w8a8,2048,27648,5120,23.899,39.422,39.091
5,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,27.611,41.041,42.606
5,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,27.611,16.182,30.999
5,mlp.gate_proj,w4a8-pc,2048,27648,5120,23.899,14.723,29.305
5,mlp.up_proj,w8a8,2048,27648,5120,23.899,40.427,21.875
5,mlp.up_proj,w8a8-mg1024,2048,27648,5120,27.611,41.637,25.514
5,mlp.up_proj,w4a8-mg1024,2048,27648,5120,27.611,16.471,14.439
5,mlp.up_proj,w4a8-pc,2048,27648,5120,23.899,15.262,12.967
5,mlp.down_proj,w8a8,2048,5120,27648,36.076,37.373,33.553
5,mlp.down_proj,w8a8-mg1024,2048,5120,27648,46.476,40.143,41.756
5,mlp.down_proj,w4a8-mg1024,2048,5120,27648,46.476,16.031,27.525
5,mlp.down_proj,w4a8-pc,2048,5120,27648,36.076,13.484,24.308
6,self_attn.q_proj,w8a8,2048,5120,5120,25.909,39.355,32.381
6,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,29.276,40.817,35.621
6,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,29.276,15.661,22.16
6,self_attn.q_proj,w4a8-pc,2048,5120,5120,25.909,14.197,20.585
6,self_attn.k_proj,w8a8,2048,1024,5120,25.909,39.854,33.847
6,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,29.276,41.108,37.058
6,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,29.276,15.946,23.916
6,self_attn.k_proj,w4a8-pc,2048,1024,5120,25.909,14.694,22.571
6,self_attn.v_proj,w8a8,2048,1024,5120,25.909,40.765,25.894
6,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,29.276,41.803,29.17
6,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,29.276,16.628,16.653
6,self_attn.v_proj,w4a8-pc,2048,1024,5120,25.909,15.594,15.474
6,self_attn.o_proj,w8a8,2048,5120,5120,29.172,39.604,31.137
6,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,33.994,41.413,35.65
6,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,33.994,16.249,18.622
6,self_attn.o_proj,w4a8-pc,2048,5120,5120,29.172,14.493,16.698
6,mlp.gate_proj,w8a8,2048,27648,5120,23.793,39.568,37.911
6,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,27.494,41.176,41.437
6,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,27.494,16.218,29.659
6,mlp.gate_proj,w4a8-pc,2048,27648,5120,23.793,14.746,27.741
6,mlp.up_proj,w8a8,2048,27648,5120,23.793,40.2,22.152
6,mlp.up_proj,w8a8-mg1024,2048,27648,5120,27.494,41.565,25.781
6,mlp.up_proj,w4a8-mg1024,2048,27648,5120,27.494,16.408,14.678
6,mlp.up_proj,w4a8-pc,2048,27648,5120,23.793,15.07,13.142
6,mlp.down_proj,w8a8,2048,5120,27648,24.588,37.818,24.393
6,mlp.down_proj,w8a8-mg1024,2048,5120,27648,35.152,40.552,35.38
6,mlp.down_proj,w4a8-mg1024,2048,5120,27648,35.152,16.092,19.835
6,mlp.down_proj,w4a8-pc,2048,5120,27648,24.588,13.636,17.159
7,self_attn.q_proj,w8a8,2048,5120,5120,26.839,39.563,32.365
7,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,30.322,41.067,35.703
